ordinal,serialized_path,parameter_group,owner_dataclass,field_name,type_annotation,json_type,value_shape,unit,required,default_kind,default_source,default_value_json,repeatable_entity_paths,repeatable_depth,accepted_by_parser,emitted_by_serializer,parser,parser_handling,serializer,serializer_handling,accepted_via_template_parser,accepted_template_source_path,template_alias_required,template_parser,template_parser_handling,template_parser_source_file,template_parser_source_line,contract_scope,runtime_consumer_trace,source_file,source_line
11,design.noises[].gain,generated_audio_sources,NoiseDefinition,gain,float,number,scalar,,false,literal_or_constant,1.0,1.0,design.noises[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"NoiseDefinition(**item), followed by generated-source-profile normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,130
12,design.noises[].source_profile,generated_audio_sources,NoiseDefinition,source_profile,str,string,scalar,,false,literal_or_constant,'',"""""",design.noises[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"NoiseDefinition(**item), followed by generated-source-profile normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,131
13,design.noises[].source_profile_parameters,generated_audio_sources,NoiseDefinition,source_profile_parameters,"dict[str, Any]",object,object,,false,factory,field(default_factory=dict),{},design.noises[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"NoiseDefinition(**item), followed by generated-source-profile normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,132
14,design.noises[].prebaked_path,generated_audio_sources,NoiseDefinition,prebaked_path,str,string,scalar,,false,literal_or_constant,'',"""""",design.noises[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"NoiseDefinition(**item), followed by generated-source-profile normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,133
15,design.noises[].sequence_order,generated_audio_sources,NoiseDefinition,sequence_order,int,integer,scalar,,false,literal_or_constant,0,0,design.noises[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"NoiseDefinition(**item), followed by generated-source-profile normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,134
16,design.noises[].motion_mode,generated_audio_sources,NoiseDefinition,motion_mode,str,string,scalar,,false,literal_or_constant,'looming',"""looming""",design.noises[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"NoiseDefinition(**item), followed by generated-source-profile normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,135
17,design.noises[].trajectory_snapshot,generated_audio_sources,NoiseDefinition,trajectory_snapshot,"dict[str, Any]",object,object,,false,factory,field(default_factory=dict),{},design.noises[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"NoiseDefinition(**item), followed by generated-source-profile normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,136
18,design.custom_looming_files[].label,custom_looming_audio_sources,AudioFileSpec,label,str,string,scalar,,true,required,,,design.custom_looming_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='looming'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,109
19,design.custom_looming_files[].path,custom_looming_audio_sources,AudioFileSpec,path,str,string,scalar,,true,required,,,design.custom_looming_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='looming'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,110
20,design.custom_looming_files[].target_duration_s,custom_looming_audio_sources,AudioFileSpec,target_duration_s,float,number,scalar,s,false,literal_or_constant,4.0,4.0,design.custom_looming_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='looming'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,111
21,design.custom_looming_files[].render_mode,custom_looming_audio_sources,AudioFileSpec,render_mode,str,string,scalar,,false,literal_or_constant,'preserve',"""preserve""",design.custom_looming_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='looming'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,112
22,design.custom_looming_files[].tone_type,custom_looming_audio_sources,AudioFileSpec,tone_type,str,string,scalar,,false,literal_or_constant,'',"""""",design.custom_looming_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='looming'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,113
23,design.custom_looming_files[].gain,custom_looming_audio_sources,AudioFileSpec,gain,float,number,scalar,,false,literal_or_constant,1.0,1.0,design.custom_looming_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='looming'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,114
24,design.custom_looming_files[].placement,custom_looming_audio_sources,AudioFileSpec,placement,str,string,scalar,,false,literal_or_constant,'before',"""before""",design.custom_looming_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='looming'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,115
25,design.custom_looming_files[].target_source_label,custom_looming_audio_sources,AudioFileSpec,target_source_label,str,string,scalar,,false,literal_or_constant,'',"""""",design.custom_looming_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='looming'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,116
26,design.custom_looming_files[].phase,custom_looming_audio_sources,AudioFileSpec,phase,str,string,scalar,,false,literal_or_constant,'',"""""",design.custom_looming_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='looming'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,117
27,design.custom_looming_files[].gap_s,custom_looming_audio_sources,AudioFileSpec,gap_s,float,number,scalar,s,false,literal_or_constant,0.0,0.0,design.custom_looming_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='looming'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,118
28,design.custom_looming_files[].sequence_order,custom_looming_audio_sources,AudioFileSpec,sequence_order,int,integer,scalar,,false,literal_or_constant,0,0,design.custom_looming_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='looming'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,119
29,design.custom_looming_files[].motion_mode,custom_looming_audio_sources,AudioFileSpec,motion_mode,str,string,scalar,,false,literal_or_constant,'looming',"""looming""",design.custom_looming_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='looming'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,120
30,design.custom_looming_files[].trajectory_snapshot,custom_looming_audio_sources,AudioFileSpec,trajectory_snapshot,"dict[str, Any]",object,object,,false,factory,field(default_factory=dict),{},design.custom_looming_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='looming'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,121
31,design.prestimulus_files[].label,prestimulus_audio_sources,AudioFileSpec,label,str,string,scalar,,true,required,,,design.prestimulus_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='stationary'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,109
32,design.prestimulus_files[].path,prestimulus_audio_sources,AudioFileSpec,path,str,string,scalar,,true,required,,,design.prestimulus_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='stationary'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,110
33,design.prestimulus_files[].target_duration_s,prestimulus_audio_sources,AudioFileSpec,target_duration_s,float,number,scalar,s,false,literal_or_constant,4.0,4.0,design.prestimulus_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='stationary'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,111
34,design.prestimulus_files[].render_mode,prestimulus_audio_sources,AudioFileSpec,render_mode,str,string,scalar,,false,literal_or_constant,'preserve',"""preserve""",design.prestimulus_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='stationary'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,112
35,design.prestimulus_files[].tone_type,prestimulus_audio_sources,AudioFileSpec,tone_type,str,string,scalar,,false,literal_or_constant,'',"""""",design.prestimulus_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='stationary'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,113
36,design.prestimulus_files[].gain,prestimulus_audio_sources,AudioFileSpec,gain,float,number,scalar,,false,literal_or_constant,1.0,1.0,design.prestimulus_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='stationary'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,114
37,design.prestimulus_files[].placement,prestimulus_audio_sources,AudioFileSpec,placement,str,string,scalar,,false,literal_or_constant,'before',"""before""",design.prestimulus_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='stationary'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,115
38,design.prestimulus_files[].target_source_label,prestimulus_audio_sources,AudioFileSpec,target_source_label,str,string,scalar,,false,literal_or_constant,'',"""""",design.prestimulus_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='stationary'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,116
39,design.prestimulus_files[].phase,prestimulus_audio_sources,AudioFileSpec,phase,str,string,scalar,,false,literal_or_constant,'',"""""",design.prestimulus_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='stationary'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,117
40,design.prestimulus_files[].gap_s,prestimulus_audio_sources,AudioFileSpec,gap_s,float,number,scalar,s,false,literal_or_constant,0.0,0.0,design.prestimulus_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='stationary'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,118
41,design.prestimulus_files[].sequence_order,prestimulus_audio_sources,AudioFileSpec,sequence_order,int,integer,scalar,,false,literal_or_constant,0,0,design.prestimulus_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='stationary'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,119
42,design.prestimulus_files[].motion_mode,prestimulus_audio_sources,AudioFileSpec,motion_mode,str,string,scalar,,false,literal_or_constant,'looming',"""looming""",design.prestimulus_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='stationary'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,120
43,design.prestimulus_files[].trajectory_snapshot,prestimulus_audio_sources,AudioFileSpec,trajectory_snapshot,"dict[str, Any]",object,object,,false,factory,field(default_factory=dict),{},design.prestimulus_files[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"_audio_file_specs_from_dicts(..., default_motion_mode='stationary'); AudioFileSpec(**data)",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,121
44,design.trajectory.start_radius_m,trajectory,TrajectorySpec,start_radius_m,float,number,scalar,m,false,literal_or_constant,1.1,1.1,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,171
45,design.trajectory.end_radius_m,trajectory,TrajectorySpec,end_radius_m,float,number,scalar,m,false,literal_or_constant,0.1,0.1,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,172
46,design.trajectory.path_direction,trajectory,TrajectorySpec,path_direction,str,string,scalar,,false,literal_or_constant,'approach',"""approach""",,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,173
47,design.trajectory.coordinate_mode,trajectory,TrajectorySpec,coordinate_mode,str,string,scalar,,false,literal_or_constant,'polar',"""polar""",,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,174
48,design.trajectory.start_x_m,trajectory,TrajectorySpec,start_x_m,float | None,number|null,scalar,m,false,literal_or_constant,None,null,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,175
49,design.trajectory.start_y_m,trajectory,TrajectorySpec,start_y_m,float | None,number|null,scalar,m,false,literal_or_constant,None,null,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,176
50,design.trajectory.start_z_m,trajectory,TrajectorySpec,start_z_m,float | None,number|null,scalar,m,false,literal_or_constant,None,null,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,177
51,design.trajectory.end_x_m,trajectory,TrajectorySpec,end_x_m,float | None,number|null,scalar,m,false,literal_or_constant,None,null,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,178
52,design.trajectory.end_y_m,trajectory,TrajectorySpec,end_y_m,float | None,number|null,scalar,m,false,literal_or_constant,None,null,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,179
53,design.trajectory.end_z_m,trajectory,TrajectorySpec,end_z_m,float | None,number|null,scalar,m,false,literal_or_constant,None,null,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,180
54,design.trajectory.path_length_m,trajectory,TrajectorySpec,path_length_m,float,number,scalar,m,false,literal_or_constant,1.0,1.0,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,181
55,design.trajectory.propagation_speed_mps,trajectory,TrajectorySpec,propagation_speed_mps,float,number,scalar,m/s,false,literal_or_constant,1.0 / 3.0,0.3333333333333333,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,182
56,design.trajectory.azimuth_start_deg,trajectory,TrajectorySpec,azimuth_start_deg,float,number,scalar,degrees,false,literal_or_constant,0.0,0.0,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,183
